one	0	762287	1
seven	0	762287	1
<Seven_Wonders_of_the_Ancient_World>	1	762287	1
wonders	0	762287	1
ancient	0	762287	1
world	0	762287	1
<Seven_Wonders_of_the_Ancient_World>	1	762287	1
great	0	762287	1
<Library_of_Alexandria>	1	762287	1
library	0	762287	1
largest	0	762287	1
ancient	0	762287	1
<Seven_Wonders_of_the_Ancient_World>	1	762287	1
world	0	762287	1
<Seven_Wonders_of_the_Ancient_World>	1	762287	1
now	0	762287	1
replaced	0	762287	1
modern	0	762287	1
<Bibliotheca_Alexandrina>	1	762287	1
one	0	762287	1
